"category_slug","engine_group","tool_count"
"general-tools","formula","13"
"ai-tools","ai","1"
"marketing-tools","formula","16"
"finance-tools","formula","30"
"employment-tools","formula","13"
"business-tools","formula","9"
"text-tools","text","16"
"decoration-tools","text","7"
"ai-writing-tools","ai","15"
"social-media-tools","ai","7"
"productivity-tools","ai","3"
"seo-tools","ai","4"
"education-tools","formula","11"
"converter-tools","formula","18"
"health-tools","formula","12"
"math-tools","formula","8"
"date-time-tools","formula","8"
"saudi-tools","formula","8"
"travel-tools","formula","10"
"productivity-tools","formula","10"
"sustainability-tools","formula","10"
"ecommerce-tools","formula","10"
"freelancer-tools","formula","10"
"restaurant-tools","formula","10"
"logistics-tools","formula","10"
"sales-tools","formula","10"
"creator-tools","formula","10"
"real-estate-tools","formula","10"
"hr-tools","formula","10"
"automotive-tools","formula","10"
"construction-tools","formula","10"
"design-tools","formula","10"
"agriculture-tools","formula","10"
"event-tools","formula","10"
"seo-tools","formula","10"
"web-tools","formula","10"
"personal-finance-tools","formula","10"
"customer-service-tools","formula","10"
"hospitality-tools","formula","10"
"home-tools","formula","10"
"fitness-tools","formula","10"
"retail-tools","formula","10"
"manufacturing-tools","formula","10"
"project-management-tools","formula","10"
"insurance-tools","formula","10"
"energy-tools","formula","10"
"cybersecurity-tools","formula","10"
"photography-tools","formula","10"
"startup-tools","formula","10"
"telecom-tools","formula","10"
"saas-tools","formula","10"
"rental-business-tools","formula","10"
"procurement-tools","formula","10"
"quality-tools","formula","10"
"maintenance-tools","formula","10"
"franchise-tools","formula","10"
"bakery-tools","formula","10"
"salon-tools","formula","10"
