"id","slug","title_ar","title_en","short_description","category_id","engine_type","is_active","model_alias","provider_strategy","requires_auth","created_at","updated_at","category_label","media_candidate","media_reasons"
"f175eb69-3779-4350-ba79-0b2054300d86","percentage-calculator","حاسبة النسبة المئوية","Percentage Calculator","احسب نسبة جزء من إجمالي.","17ad1001-9023-4ad8-b246-ae26aa22da0e","formula","true",,"primary_with_fallback","false","2026-08-01T23:36:25.085987+00:00","2026-08-01T23:37:19.917917+00:00","general-tools أدوات عامة General Tools","false",""
"86eb5790-0179-4901-85e4-e0165b14fcda","ai-content-writer","مساعد كتابة المحتوى","AI Content Writer","أنشئ محتوى عربيًا حسب الموضوع والنبرة والجمهور.","dee9bec2-591b-4f03-a96e-e616415c4e68","ai_text","true","standard","primary_with_fallback","true","2026-08-01T23:36:25.085987+00:00","2026-08-01T23:37:25.558716+00:00","ai-tools أدوات الذكاء الاصطناعي AI Tools","false",""
"4d4e2480-0da8-4d19-8f5c-f0fe745f46be","customer-acquisition-cost-calculator","حاسبة تكلفة اكتساب العميل","Customer Acquisition Cost Calculator","احسب متوسط تكلفة اكتساب عميل جديد.","d67864df-db22-47f6-9e81-939b6258a695","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:11.769173+00:00","2026-08-01T23:37:19.917917+00:00","marketing-tools أدوات التسويق Marketing Tools","false",""
"4f0d7b08-5b13-4419-8bbf-895ce7c6e2fb","gross-profit-calculator","حاسبة الربح الإجمالي","Gross Profit Calculator","احسب الربح أو الخسارة الإجمالية من الإيراد والتكلفة.","d17d9f2e-69f7-4509-be0d-18a6f5409a37","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:11.769173+00:00","2026-08-01T23:37:19.917917+00:00","finance-tools أدوات المال Finance Tools","false",""
"ec722629-db92-4f7b-b12e-c70f2c398ace","conversion-rate-calculator","حاسبة معدل التحويل","Conversion Rate Calculator","احسب نسبة التحويل من الزوار.","d67864df-db22-47f6-9e81-939b6258a695","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:11.769173+00:00","2026-08-01T23:37:19.917917+00:00","marketing-tools أدوات التسويق Marketing Tools","false",""
"0b70612c-e276-4a62-b357-e1c1c773fa5a","cpa-calculator","حاسبة تكلفة الإجراء","CPA Calculator","احسب تكلفة كل تحويل أو إجراء.","d67864df-db22-47f6-9e81-939b6258a695","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:11.769173+00:00","2026-08-01T23:37:19.917917+00:00","marketing-tools أدوات التسويق Marketing Tools","false",""
"f301ad76-50e0-4d4b-b544-e7cdb7246e9a","profit-margin-calculator","حاسبة هامش الربح","Profit Margin Calculator","احسب هامش الربح كنسبة من سعر البيع.","d17d9f2e-69f7-4509-be0d-18a6f5409a37","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:11.769173+00:00","2026-08-01T23:37:19.917917+00:00","finance-tools أدوات المال Finance Tools","false",""
"a0c66970-94b9-40e2-a739-be76dce65524","cpm-calculator","حاسبة تكلفة الألف ظهور","CPM Calculator","احسب تكلفة كل ألف ظهور.","d67864df-db22-47f6-9e81-939b6258a695","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:11.769173+00:00","2026-08-01T23:37:19.917917+00:00","marketing-tools أدوات التسويق Marketing Tools","false",""
"dfd21220-8422-4970-8c90-270550b5c3c4","ctr-calculator","حاسبة معدل النقر","CTR Calculator","احسب معدل النقر إلى الظهور.","d67864df-db22-47f6-9e81-939b6258a695","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:11.769173+00:00","2026-08-01T23:37:19.917917+00:00","marketing-tools أدوات التسويق Marketing Tools","false",""
"c3035766-e935-4182-942e-8b412419789b","discount-calculator","حاسبة الخصم","Discount Calculator","احسب السعر النهائي بعد تطبيق نسبة الخصم.","d17d9f2e-69f7-4509-be0d-18a6f5409a37","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:11.769173+00:00","2026-08-01T23:37:19.917917+00:00","finance-tools أدوات المال Finance Tools","false",""
"ff6dfa48-a649-4391-b7a7-cfe2b77292d8","cpc-calculator","حاسبة تكلفة النقرة","CPC Calculator","احسب متوسط تكلفة النقرة.","d67864df-db22-47f6-9e81-939b6258a695","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:11.769173+00:00","2026-08-01T23:37:19.917917+00:00","marketing-tools أدوات التسويق Marketing Tools","false",""
"a721a63c-83e8-4075-8b56-a8dff08c6bc1","roas-calculator","حاسبة العائد الإعلاني","ROAS Calculator","احسب الإيراد الناتج عن كل وحدة إنفاق إعلاني.","d67864df-db22-47f6-9e81-939b6258a695","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:11.769173+00:00","2026-08-01T23:37:19.917917+00:00","marketing-tools أدوات التسويق Marketing Tools","false",""
"d9de3723-38d6-4a9f-b2ff-74548722d39c","salary-increase-calculator","حاسبة زيادة الراتب","Salary Increase Calculator","احسب مقدار زيادة الراتب كنسبة مئوية.","188be102-28fb-40f7-8df8-21f9f313a2e7","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:11.769173+00:00","2026-08-01T23:37:19.917917+00:00","employment-tools أدوات الرواتب والموظفين Employment Tools","false",""
"ee78d9ac-d962-45b4-92d0-4ff06f6b092f","break-even-calculator","حاسبة نقطة التعادل","Break-even Calculator","احسب عدد الوحدات اللازمة لتغطية التكاليف الثابتة.","ca150531-81db-4fb2-a70d-7d59b0535a5d","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:11.769173+00:00","2026-08-01T23:37:19.917917+00:00","business-tools أدوات الأعمال Business Tools","false",""
"302eaba8-e1b8-4d3c-8346-60a9cdf4ac32","tip-calculator","حاسبة الإكرامية","Tip Calculator","احسب قيمة الإكرامية من إجمالي الفاتورة.","d17d9f2e-69f7-4509-be0d-18a6f5409a37","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:11.769173+00:00","2026-08-01T23:37:19.917917+00:00","finance-tools أدوات المال Finance Tools","false",""
