"id","slug","title_ar","title_en","short_description","category_id","engine_type","is_active","model_alias","provider_strategy","requires_auth","created_at","updated_at","category_label","media_candidate","media_reasons"
"544e0be2-869e-4b47-9d84-eabc3b5f3d83","video-script-generator","مولد سكريبت الفيديو","Video Script Generator","اكتب سكريبت فيديو منظمًا حسب المدة والمنصة والأسلوب.","98546014-8593-4c07-991f-a98f1e6caffa","ai_text","true","standard","primary_with_fallback","true","2026-08-01T23:37:17.424501+00:00","2026-08-01T23:37:27.134332+00:00","ai-writing-tools الكتابة بالذكاء الاصطناعي AI Writing Tools","true","text:video|فيديو"
"188def61-24cc-4321-a3e3-de869b62473f","social-post-generator","مولد منشورات السوشيال ميديا","Social Post Generator","أنشئ منشورًا مناسبًا للمنصة والهدف والجمهور.","9dfdca9c-4d7c-4427-84b9-f5810adb9cfa","ai_text","true","standard","primary_with_fallback","true","2026-08-01T23:37:17.424501+00:00","2026-08-01T23:37:27.134332+00:00","social-media-tools أدوات السوشيال ميديا Social Media Tools","true","text:media"
"006abb67-69d9-4085-befa-37032e344c0d","youtube-description-generator","مولد وصف YouTube","YouTube Description Generator","اكتب وصف فيديو منظمًا مع كلمات مفتاحية وCTA.","9dfdca9c-4d7c-4427-84b9-f5810adb9cfa","ai_text","true","standard","primary_with_fallback","true","2026-08-01T23:37:17.424501+00:00","2026-08-01T23:37:25.558716+00:00","social-media-tools أدوات السوشيال ميديا Social Media Tools","true","text:media|youtube|فيديو"
"baa6c8f0-6ef9-48df-9ad8-12ff3fca484e","youtube-title-generator","مولد عناوين YouTube","YouTube Title Generator","أنشئ عناوين يوتيوب جذابة بدون تضليل.","9dfdca9c-4d7c-4427-84b9-f5810adb9cfa","ai_text","true","standard","primary_with_fallback","true","2026-08-01T23:37:17.424501+00:00","2026-08-01T23:37:25.558716+00:00","social-media-tools أدوات السوشيال ميديا Social Media Tools","true","text:media|youtube|يوتيوب"
"9d8e203c-2d3d-4f80-8bb9-b3748edc53fb","x-post-generator","مولد منشورات X","X Post Generator","اكتب منشورًا قصيرًا مناسبًا لمنصة X.","9dfdca9c-4d7c-4427-84b9-f5810adb9cfa","ai_text","true","standard","primary_with_fallback","true","2026-08-01T23:37:17.424501+00:00","2026-08-01T23:37:25.558716+00:00","social-media-tools أدوات السوشيال ميديا Social Media Tools","true","text:media"
"d40f6033-4da3-48b2-892a-f923ac845028","linkedin-post-generator","مولد منشورات LinkedIn","LinkedIn Post Generator","أنشئ منشور لينكدإن مهنيًا ومقنعًا.","9dfdca9c-4d7c-4427-84b9-f5810adb9cfa","ai_text","true","standard","primary_with_fallback","true","2026-08-01T23:37:17.424501+00:00","2026-08-01T23:37:25.558716+00:00","social-media-tools أدوات السوشيال ميديا Social Media Tools","true","text:media"
"8f53b565-7927-422f-9596-0683813831a2","tiktok-caption-generator","مولد كابشن TikTok","TikTok Caption Generator","اكتب كابشن قصيرًا مناسبًا لتيك توك.","9dfdca9c-4d7c-4427-84b9-f5810adb9cfa","ai_text","true","standard","primary_with_fallback","true","2026-08-01T23:37:17.424501+00:00","2026-08-01T23:37:25.558716+00:00","social-media-tools أدوات السوشيال ميديا Social Media Tools","true","text:media|tiktok|تيك توك"
"5d895ade-b002-40e3-975a-9c8297324c93","instagram-caption-generator","مولد كابشن Instagram","Instagram Caption Generator","اكتب كابشن إنستغرام جذابًا ومنظمًا.","9dfdca9c-4d7c-4427-84b9-f5810adb9cfa","ai_text","true","standard","primary_with_fallback","true","2026-08-01T23:37:17.424501+00:00","2026-08-01T23:37:25.558716+00:00","social-media-tools أدوات السوشيال ميديا Social Media Tools","true","text:media|instagram"
"8857b0a4-f491-4668-9414-edfde97c4ef3","thumbnail-click-through-rate-calculator","حاسبة CTR للصورة المصغرة","Thumbnail CTR Calculator","احسب نسبة النقر إلى مرات الظهور.","ee468a16-af8d-4268-b35d-c16e5004a9b0","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:31.569745+00:00","2026-08-01T23:37:31.569745+00:00","creator-tools أدوات صناع المحتوى Creator Tools","true","text:thumbnail|صورة|صور|مصغرة"
"f280adde-5944-432a-983c-95d1bfdbdfa5","video-watch-time-calculator","حاسبة وقت المشاهدة","Watch Time Calculator","احسب إجمالي ساعات المشاهدة.","ee468a16-af8d-4268-b35d-c16e5004a9b0","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:31.569745+00:00","2026-08-01T23:37:31.569745+00:00","creator-tools أدوات صناع المحتوى Creator Tools","true","text:video"
"0bae9b25-f054-4183-97d9-ee0e4ad6bacd","video-production-cost-calculator","حاسبة تكلفة إنتاج الفيديو","Video Production Cost Calculator","احسب تكلفة الفيديو من ساعات العمل والتكاليف الثابتة.","ee468a16-af8d-4268-b35d-c16e5004a9b0","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:31.569745+00:00","2026-08-01T23:37:31.569745+00:00","creator-tools أدوات صناع المحتوى Creator Tools","true","text:video|فيديو"
"8aaf6778-8311-4d1a-b021-e50a11bd73d3","youtube-cpm-revenue-calculator","حاسبة دخل المشاهدات CPM","CPM Revenue Calculator","قدّر الإيراد من المشاهدات ومعدل CPM.","ee468a16-af8d-4268-b35d-c16e5004a9b0","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:31.569745+00:00","2026-08-01T23:37:31.569745+00:00","creator-tools أدوات صناع المحتوى Creator Tools","true","text:youtube"
"4f5f5c02-6295-4792-99d7-dac87970ab94","page-weight-calculator","حاسبة وزن الصفحة","Page Weight Calculator","اجمع أحجام HTML وCSS وJS والصور.","28fd7e02-2722-473f-8547-368efc329469","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:34.426969+00:00","2026-08-01T23:37:34.426969+00:00","web-tools أدوات الويب Web Tools","true","text:صور"
"d6ab898e-aae3-41f5-8ee6-15a884f707b3","vulnerability-remediation-rate-calculator","حاسبة معالجة الثغرات","Vulnerability Remediation Rate Calculator","احسب نسبة الثغرات المعالجة.","b83356b9-36e2-49cc-8eea-3d10bc7130e9","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:37.287156+00:00","2026-08-01T23:37:37.287156+00:00","cybersecurity-tools أدوات الأمن السيبراني Cybersecurity Tools","true","text:media"
"44f09748-437d-4bda-bd40-47d4158428fd","photo-storage-calculator","حاسبة مساحة تخزين الصور","Photo Storage Calculator","قدّر مساحة الصور من العدد ومتوسط الحجم.","8b90b002-3e8b-4222-9905-b3fe6d25c4ad","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:37.287156+00:00","2026-08-01T23:37:37.287156+00:00","photography-tools أدوات التصوير Photography Tools","true","text:photo|صور"
"17c5e388-7e91-449e-88bf-d96ca0904d53","video-storage-calculator","حاسبة مساحة تخزين الفيديو","Video Storage Calculator","قدّر مساحة الفيديو من معدل البت والمدة.","8b90b002-3e8b-4222-9905-b3fe6d25c4ad","formula","true",,"primary_with_fallback","false","2026-08-01T23:37:37.287156+00:00","2026-08-01T23:37:37.287156+00:00","photography-tools أدوات التصوير Photography Tools","true","text:video|photo|فيديو"
