"tool_id","tool_slug","tool_title_ar","skill_slug","link_type","sort_order"
"f175eb69-3779-4350-ba79-0b2054300d86","percentage-calculator","حاسبة النسبة المئوية","skill-general-tools-calculation","family","10"
"f175eb69-3779-4350-ba79-0b2054300d86","percentage-calculator","حاسبة النسبة المئوية","skill-engine-formula","engine","20"
"86eb5790-0179-4901-85e4-e0165b14fcda","ai-content-writer","مساعد كتابة المحتوى","skill-ai-tools-writing","family","10"
"86eb5790-0179-4901-85e4-e0165b14fcda","ai-content-writer","مساعد كتابة المحتوى","skill-engine-ai","engine","20"
"4d4e2480-0da8-4d19-8f5c-f0fe745f46be","customer-acquisition-cost-calculator","حاسبة تكلفة اكتساب العميل","skill-marketing-tools-calculation","family","10"
"4d4e2480-0da8-4d19-8f5c-f0fe745f46be","customer-acquisition-cost-calculator","حاسبة تكلفة اكتساب العميل","skill-engine-formula","engine","20"
"4f0d7b08-5b13-4419-8bbf-895ce7c6e2fb","gross-profit-calculator","حاسبة الربح الإجمالي","skill-finance-tools-calculation","family","10"
"4f0d7b08-5b13-4419-8bbf-895ce7c6e2fb","gross-profit-calculator","حاسبة الربح الإجمالي","skill-engine-formula","engine","20"
"ec722629-db92-4f7b-b12e-c70f2c398ace","conversion-rate-calculator","حاسبة معدل التحويل","skill-marketing-tools-calculation","family","10"
"ec722629-db92-4f7b-b12e-c70f2c398ace","conversion-rate-calculator","حاسبة معدل التحويل","skill-engine-formula","engine","20"
"0b70612c-e276-4a62-b357-e1c1c773fa5a","cpa-calculator","حاسبة تكلفة الإجراء","skill-marketing-tools-calculation","family","10"
"0b70612c-e276-4a62-b357-e1c1c773fa5a","cpa-calculator","حاسبة تكلفة الإجراء","skill-engine-formula","engine","20"
"f301ad76-50e0-4d4b-b544-e7cdb7246e9a","profit-margin-calculator","حاسبة هامش الربح","skill-finance-tools-calculation","family","10"
"f301ad76-50e0-4d4b-b544-e7cdb7246e9a","profit-margin-calculator","حاسبة هامش الربح","skill-engine-formula","engine","20"
"a0c66970-94b9-40e2-a739-be76dce65524","cpm-calculator","حاسبة تكلفة الألف ظهور","skill-marketing-tools-calculation","family","10"
"a0c66970-94b9-40e2-a739-be76dce65524","cpm-calculator","حاسبة تكلفة الألف ظهور","skill-engine-formula","engine","20"
"dfd21220-8422-4970-8c90-270550b5c3c4","ctr-calculator","حاسبة معدل النقر","skill-marketing-tools-calculation","family","10"
"dfd21220-8422-4970-8c90-270550b5c3c4","ctr-calculator","حاسبة معدل النقر","skill-engine-formula","engine","20"
"c3035766-e935-4182-942e-8b412419789b","discount-calculator","حاسبة الخصم","skill-finance-tools-calculation","family","10"
"c3035766-e935-4182-942e-8b412419789b","discount-calculator","حاسبة الخصم","skill-engine-formula","engine","20"
"ff6dfa48-a649-4391-b7a7-cfe2b77292d8","cpc-calculator","حاسبة تكلفة النقرة","skill-marketing-tools-calculation","family","10"
"ff6dfa48-a649-4391-b7a7-cfe2b77292d8","cpc-calculator","حاسبة تكلفة النقرة","skill-engine-formula","engine","20"
"a721a63c-83e8-4075-8b56-a8dff08c6bc1","roas-calculator","حاسبة العائد الإعلاني","skill-marketing-tools-calculation","family","10"
"a721a63c-83e8-4075-8b56-a8dff08c6bc1","roas-calculator","حاسبة العائد الإعلاني","skill-engine-formula","engine","20"
"d9de3723-38d6-4a9f-b2ff-74548722d39c","salary-increase-calculator","حاسبة زيادة الراتب","skill-employment-tools-calculation","family","10"
"d9de3723-38d6-4a9f-b2ff-74548722d39c","salary-increase-calculator","حاسبة زيادة الراتب","skill-engine-formula","engine","20"
"ee78d9ac-d962-45b4-92d0-4ff06f6b092f","break-even-calculator","حاسبة نقطة التعادل","skill-business-tools-calculation","family","10"
"ee78d9ac-d962-45b4-92d0-4ff06f6b092f","break-even-calculator","حاسبة نقطة التعادل","skill-engine-formula","engine","20"
"302eaba8-e1b8-4d3c-8346-60a9cdf4ac32","tip-calculator","حاسبة الإكرامية","skill-finance-tools-calculation","family","10"
"302eaba8-e1b8-4d3c-8346-60a9cdf4ac32","tip-calculator","حاسبة الإكرامية","skill-engine-formula","engine","20"
"0f15704e-ebe9-426a-8a77-015bb1f52b34","compound-interest-calculator","حاسبة الفائدة المركبة","skill-finance-tools-calculation","family","10"
"0f15704e-ebe9-426a-8a77-015bb1f52b34","compound-interest-calculator","حاسبة الفائدة المركبة","skill-engine-formula","engine","20"
"be5d1ed8-56f0-4114-84a6-ee07fe0e153a","simple-interest-calculator","حاسبة الفائدة البسيطة","skill-finance-tools-calculation","family","10"
"be5d1ed8-56f0-4114-84a6-ee07fe0e153a","simple-interest-calculator","حاسبة الفائدة البسيطة","skill-engine-formula","engine","20"
"b0167501-912e-4f9b-96d9-34532eae13bf","unit-price-calculator","حاسبة سعر الوحدة","skill-finance-tools-calculation","family","10"
"b0167501-912e-4f9b-96d9-34532eae13bf","unit-price-calculator","حاسبة سعر الوحدة","skill-engine-formula","engine","20"
"d48b39fd-6eab-4398-923b-473451e9e8ba","aov-calculator","حاسبة متوسط قيمة الطلب","skill-marketing-tools-calculation","family","10"
"d48b39fd-6eab-4398-923b-473451e9e8ba","aov-calculator","حاسبة متوسط قيمة الطلب","skill-engine-formula","engine","20"
"454866d0-1aaa-4f62-8aad-3ae1d6dcb02c","commission-calculator","حاسبة العمولة","skill-finance-tools-calculation","family","10"
"454866d0-1aaa-4f62-8aad-3ae1d6dcb02c","commission-calculator","حاسبة العمولة","skill-engine-formula","engine","20"
"9f7a206f-ab52-4ef3-805f-b989bf4ac800","roi-calculator","حاسبة العائد على الاستثمار","skill-finance-tools-calculation","family","10"
"9f7a206f-ab52-4ef3-805f-b989bf4ac800","roi-calculator","حاسبة العائد على الاستثمار","skill-engine-formula","engine","20"
"21030036-5d49-4e16-95cc-5d28165fbc54","weighted-score-calculator","حاسبة الدرجة الموزونة","skill-general-tools-calculation","family","10"
"21030036-5d49-4e16-95cc-5d28165fbc54","weighted-score-calculator","حاسبة الدرجة الموزونة","skill-engine-formula","engine","20"
"74b34bbf-bbdf-463d-8d00-696766fd4766","pre-tax-price-calculator","حاسبة السعر قبل الضريبة","skill-finance-tools-calculation","family","10"
"74b34bbf-bbdf-463d-8d00-696766fd4766","pre-tax-price-calculator","حاسبة السعر قبل الضريبة","skill-engine-formula","engine","20"
"f3e86665-b806-40a9-961a-8e7ac1419d37","markup-calculator","حاسبة نسبة الزيادة على التكلفة","skill-finance-tools-calculation","family","10"
"f3e86665-b806-40a9-961a-8e7ac1419d37","markup-calculator","حاسبة نسبة الزيادة على التكلفة","skill-engine-formula","engine","20"
"bd86531a-b40c-4800-9e86-c37feff83059","vat-calculator","حاسبة ضريبة القيمة المضافة","skill-finance-tools-calculation","family","10"
"bd86531a-b40c-4800-9e86-c37feff83059","vat-calculator","حاسبة ضريبة القيمة المضافة","skill-engine-formula","engine","20"
"4254c4db-9526-4c7d-913a-38aa1ce6fb64","average-calculator","حاسبة المتوسط","skill-general-tools-calculation","family","10"
"4254c4db-9526-4c7d-913a-38aa1ce6fb64","average-calculator","حاسبة المتوسط","skill-engine-formula","engine","20"
"6b3b9b93-4a44-4c15-914d-932bfcfec929","line-sorter","ترتيب الأسطر أبجديًا","skill-text-tools-sorting","family","10"
"6b3b9b93-4a44-4c15-914d-932bfcfec929","line-sorter","ترتيب الأسطر أبجديًا","skill-engine-text","engine","20"
"b320acb2-abef-4c22-b4f0-16490333a347","reverse-text","عكس النص والكلمات","skill-text-tools-text-transformation","family","10"
"b320acb2-abef-4c22-b4f0-16490333a347","reverse-text","عكس النص والكلمات","skill-engine-text","engine","20"
"af4143c7-d820-4e62-8ece-69cc2563e8fc","text-case-converter","تحويل حالة الأحرف","skill-text-tools-conversion","family","10"
"af4143c7-d820-4e62-8ece-69cc2563e8fc","text-case-converter","تحويل حالة الأحرف","skill-engine-text","engine","20"
"b971db8c-f5bb-464b-88b9-153019e6db9e","normalize-arabic-text","تنظيف وتوحيد النص العربي","skill-text-tools-text-transformation","family","10"
"b971db8c-f5bb-464b-88b9-153019e6db9e","normalize-arabic-text","تنظيف وتوحيد النص العربي","skill-engine-text","engine","20"
"addb4715-84ac-4925-a831-424adc2a44d3","remove-diacritics","إزالة التشكيل من النص","skill-text-tools-text-transformation","family","10"
"addb4715-84ac-4925-a831-424adc2a44d3","remove-diacritics","إزالة التشكيل من النص","skill-engine-text","engine","20"
"4697de8c-7b84-4923-8f44-28364c9b18c4","fancy-separator-generator","مولد الفواصل والرموز","skill-decoration-tools-generation","family","10"
"4697de8c-7b84-4923-8f44-28364c9b18c4","fancy-separator-generator","مولد الفواصل والرموز","skill-engine-text","engine","20"
"4d198c72-c2dc-4ae8-a6db-b23762c1dbe9","quote-wrapper","إطارات واقتباسات مزخرفة","skill-decoration-tools-text-transformation","family","10"
"4d198c72-c2dc-4ae8-a6db-b23762c1dbe9","quote-wrapper","إطارات واقتباسات مزخرفة","skill-engine-text","engine","20"
"9d6c3eee-db16-4b68-b242-e699fc5ff574","line-prefix-adder","إضافة رمز لكل سطر","skill-text-tools-text-transformation","family","10"
"9d6c3eee-db16-4b68-b242-e699fc5ff574","line-prefix-adder","إضافة رمز لكل سطر","skill-engine-text","engine","20"
"08c78913-87fe-467a-8195-113889b2069b","find-replace-text","بحث واستبدال النص","skill-text-tools-text-transformation","family","10"
"08c78913-87fe-467a-8195-113889b2069b","find-replace-text","بحث واستبدال النص","skill-engine-text","engine","20"
"6cbc4a4f-1ca1-4347-9ace-4dc100f4d8ab","emoji-text-decoration","زخرفة النص بالإيموجي","skill-decoration-tools-text-transformation","family","10"
"6cbc4a4f-1ca1-4347-9ace-4dc100f4d8ab","emoji-text-decoration","زخرفة النص بالإيموجي","skill-engine-text","engine","20"
"8ce62f87-b6d0-4fd1-a970-70253ec7c8a8","text-decoration","زخرفة النصوص والأسماء","skill-decoration-tools-text-transformation","family","10"
"8ce62f87-b6d0-4fd1-a970-70253ec7c8a8","text-decoration","زخرفة النصوص والأسماء","skill-engine-text","engine","20"
"0b607b9f-1c36-4070-95b0-d028d2dc1294","arabic-text-decoration","زخرفة الأسماء العربية","skill-decoration-tools-text-transformation","family","10"
"0b607b9f-1c36-4070-95b0-d028d2dc1294","arabic-text-decoration","زخرفة الأسماء العربية","skill-engine-text","engine","20"
"9cf7aa49-3eb3-4d1d-8695-4350cbe430e9","english-name-decoration","زخرفة الأسماء الإنجليزية","skill-decoration-tools-text-transformation","family","10"
"9cf7aa49-3eb3-4d1d-8695-4350cbe430e9","english-name-decoration","زخرفة الأسماء الإنجليزية","skill-engine-text","engine","20"
"e85207a7-d468-487c-9462-0b9224df5bb0","username-decoration","زخرفة اسم المستخدم","skill-decoration-tools-text-transformation","family","10"
"e85207a7-d468-487c-9462-0b9224df5bb0","username-decoration","زخرفة اسم المستخدم","skill-engine-text","engine","20"
"91a83513-9304-4d59-a113-6b35890e4d4c","slug-generator","مولد الرابط المختصر Slug","skill-text-tools-generation","family","10"
"91a83513-9304-4d59-a113-6b35890e4d4c","slug-generator","مولد الرابط المختصر Slug","skill-engine-text","engine","20"
"7fbbe408-d4b7-4192-8e8a-ec2376033906","prefix-suffix-adder","إضافة بادئة ولاحقة","skill-text-tools-text-transformation","family","10"
"7fbbe408-d4b7-4192-8e8a-ec2376033906","prefix-suffix-adder","إضافة بادئة ولاحقة","skill-engine-text","engine","20"
"7a8c0cf3-8454-4339-979a-bb1fc86582f3","text-repeater","مكرر النصوص","skill-text-tools-text-transformation","family","10"
"7a8c0cf3-8454-4339-979a-bb1fc86582f3","text-repeater","مكرر النصوص","skill-engine-text","engine","20"
"50c737ef-00ee-423f-aee3-fb14b8f20321","duplicate-line-remover","حذف الأسطر المكررة","skill-text-tools-removal","family","10"
"50c737ef-00ee-423f-aee3-fb14b8f20321","duplicate-line-remover","حذف الأسطر المكررة","skill-engine-text","engine","20"
"72ff541a-777e-488d-877f-ac5b96e9c0e2","text-counter","عداد الكلمات والأحرف","skill-text-tools-counting","family","10"
"72ff541a-777e-488d-877f-ac5b96e9c0e2","text-counter","عداد الكلمات والأحرف","skill-engine-text","engine","20"
"e50b3a4f-cf40-421f-8614-fd1a03cb9c7f","remove-line-breaks","إزالة فواصل الأسطر","skill-text-tools-text-transformation","family","10"
