"workflow_slug","skill_slug","sort_order"
"workflow-percentage-calculator-standard","skill-general-tools-calculation","10"
"workflow-percentage-calculator-standard","skill-engine-formula","20"
"workflow-ai-content-writer-quick","skill-ai-tools-writing","10"
"workflow-ai-content-writer-quick","skill-engine-ai","20"
"workflow-ai-content-writer-professional","skill-ai-tools-writing","10"
"workflow-ai-content-writer-professional","skill-engine-ai","20"
"workflow-customer-acquisition-cost-calculator-standard","skill-marketing-tools-calculation","10"
"workflow-customer-acquisition-cost-calculator-standard","skill-engine-formula","20"
"workflow-gross-profit-calculator-standard","skill-finance-tools-calculation","10"
"workflow-gross-profit-calculator-standard","skill-engine-formula","20"
"workflow-conversion-rate-calculator-standard","skill-marketing-tools-calculation","10"
"workflow-conversion-rate-calculator-standard","skill-engine-formula","20"
"workflow-cpa-calculator-standard","skill-marketing-tools-calculation","10"
"workflow-cpa-calculator-standard","skill-engine-formula","20"
"workflow-profit-margin-calculator-standard","skill-finance-tools-calculation","10"
"workflow-profit-margin-calculator-standard","skill-engine-formula","20"
"workflow-cpm-calculator-standard","skill-marketing-tools-calculation","10"
"workflow-cpm-calculator-standard","skill-engine-formula","20"
"workflow-ctr-calculator-standard","skill-marketing-tools-calculation","10"
"workflow-ctr-calculator-standard","skill-engine-formula","20"
"workflow-discount-calculator-standard","skill-finance-tools-calculation","10"
"workflow-discount-calculator-standard","skill-engine-formula","20"
"workflow-cpc-calculator-standard","skill-marketing-tools-calculation","10"
"workflow-cpc-calculator-standard","skill-engine-formula","20"
"workflow-roas-calculator-standard","skill-marketing-tools-calculation","10"
"workflow-roas-calculator-standard","skill-engine-formula","20"
"workflow-salary-increase-calculator-standard","skill-employment-tools-calculation","10"
"workflow-salary-increase-calculator-standard","skill-engine-formula","20"
"workflow-break-even-calculator-standard","skill-business-tools-calculation","10"
"workflow-break-even-calculator-standard","skill-engine-formula","20"
"workflow-tip-calculator-standard","skill-finance-tools-calculation","10"
"workflow-tip-calculator-standard","skill-engine-formula","20"
"workflow-compound-interest-calculator-standard","skill-finance-tools-calculation","10"
"workflow-compound-interest-calculator-standard","skill-engine-formula","20"
"workflow-simple-interest-calculator-standard","skill-finance-tools-calculation","10"
"workflow-simple-interest-calculator-standard","skill-engine-formula","20"
"workflow-unit-price-calculator-standard","skill-finance-tools-calculation","10"
"workflow-unit-price-calculator-standard","skill-engine-formula","20"
"workflow-aov-calculator-standard","skill-marketing-tools-calculation","10"
"workflow-aov-calculator-standard","skill-engine-formula","20"
"workflow-commission-calculator-standard","skill-finance-tools-calculation","10"
"workflow-commission-calculator-standard","skill-engine-formula","20"
"workflow-roi-calculator-standard","skill-finance-tools-calculation","10"
"workflow-roi-calculator-standard","skill-engine-formula","20"
"workflow-weighted-score-calculator-standard","skill-general-tools-calculation","10"
"workflow-weighted-score-calculator-standard","skill-engine-formula","20"
"workflow-pre-tax-price-calculator-standard","skill-finance-tools-calculation","10"
"workflow-pre-tax-price-calculator-standard","skill-engine-formula","20"
"workflow-markup-calculator-standard","skill-finance-tools-calculation","10"
"workflow-markup-calculator-standard","skill-engine-formula","20"
"workflow-vat-calculator-standard","skill-finance-tools-calculation","10"
"workflow-vat-calculator-standard","skill-engine-formula","20"
"workflow-average-calculator-standard","skill-general-tools-calculation","10"
