"workflow_slug","step_order","step_key","step_name_ar","step_type","input_source","output_key","is_required"
"workflow-percentage-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-percentage-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-percentage-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-ai-content-writer-quick","1","validate","التحقق من المدخلات","validation","user_input","validated_input","true"
"workflow-ai-content-writer-quick","2","prompt","بناء طلب الذكاء الاصطناعي","prompt","validated_input","prompt","true"
"workflow-ai-content-writer-quick","3","ai_run","تشغيل النموذج","ai","prompt","ai_output","true"
"workflow-ai-content-writer-quick","4","format","تنسيق النتيجة","transform","ai_output","final_output","true"
"workflow-ai-content-writer-professional","1","validate","التحقق المتقدم من المدخلات","validation","user_input","validated_input","true"
"workflow-ai-content-writer-professional","2","context","تحليل الهدف والسياق","analysis","validated_input","context","true"
"workflow-ai-content-writer-professional","3","prompt","بناء طلب احترافي","prompt","context","prompt","true"
"workflow-ai-content-writer-professional","4","ai_run","تشغيل النموذج","ai","prompt","draft_output","true"
"workflow-ai-content-writer-professional","5","quality","مراجعة الجودة","validation","draft_output","quality_output","true"
"workflow-ai-content-writer-professional","6","format","إخراج النتيجة النهائية","transform","quality_output","final_output","true"
"workflow-customer-acquisition-cost-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-customer-acquisition-cost-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-customer-acquisition-cost-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-gross-profit-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-gross-profit-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-gross-profit-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-conversion-rate-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
"workflow-conversion-rate-calculator-standard","2","calculate","تنفيذ المعادلة","formula","validated_input","calculation_result","true"
"workflow-conversion-rate-calculator-standard","3","format","تقريب وتنسيق النتيجة","transform","calculation_result","final_output","true"
"workflow-cpa-calculator-standard","1","validate","التحقق من القيم والوحدات","validation","user_input","validated_input","true"
