"slug","name_ar","name_en","description","category_slug","engine_group","is_active","version"
"workflow-percentage-calculator-standard","حاسبة النسبة المئوية — مسار الحساب","Percentage Calculator — standard","مسار مسار الحساب لأداة حاسبة النسبة المئوية.","general-tools","formula","true","1"
"workflow-ai-content-writer-quick","مساعد كتابة المحتوى — المسار السريع","AI Content Writer — quick","مسار المسار السريع لأداة مساعد كتابة المحتوى.","ai-tools","ai","true","1"
"workflow-ai-content-writer-professional","مساعد كتابة المحتوى — المسار الاحترافي","AI Content Writer — professional","مسار المسار الاحترافي لأداة مساعد كتابة المحتوى.","ai-tools","ai","true","1"
"workflow-customer-acquisition-cost-calculator-standard","حاسبة تكلفة اكتساب العميل — مسار الحساب","Customer Acquisition Cost Calculator — standard","مسار مسار الحساب لأداة حاسبة تكلفة اكتساب العميل.","marketing-tools","formula","true","1"
"workflow-gross-profit-calculator-standard","حاسبة الربح الإجمالي — مسار الحساب","Gross Profit Calculator — standard","مسار مسار الحساب لأداة حاسبة الربح الإجمالي.","finance-tools","formula","true","1"
"workflow-conversion-rate-calculator-standard","حاسبة معدل التحويل — مسار الحساب","Conversion Rate Calculator — standard","مسار مسار الحساب لأداة حاسبة معدل التحويل.","marketing-tools","formula","true","1"
"workflow-cpa-calculator-standard","حاسبة تكلفة الإجراء — مسار الحساب","CPA Calculator — standard","مسار مسار الحساب لأداة حاسبة تكلفة الإجراء.","marketing-tools","formula","true","1"
"workflow-profit-margin-calculator-standard","حاسبة هامش الربح — مسار الحساب","Profit Margin Calculator — standard","مسار مسار الحساب لأداة حاسبة هامش الربح.","finance-tools","formula","true","1"
"workflow-cpm-calculator-standard","حاسبة تكلفة الألف ظهور — مسار الحساب","CPM Calculator — standard","مسار مسار الحساب لأداة حاسبة تكلفة الألف ظهور.","marketing-tools","formula","true","1"
"workflow-ctr-calculator-standard","حاسبة معدل النقر — مسار الحساب","CTR Calculator — standard","مسار مسار الحساب لأداة حاسبة معدل النقر.","marketing-tools","formula","true","1"
"workflow-discount-calculator-standard","حاسبة الخصم — مسار الحساب","Discount Calculator — standard","مسار مسار الحساب لأداة حاسبة الخصم.","finance-tools","formula","true","1"
"workflow-cpc-calculator-standard","حاسبة تكلفة النقرة — مسار الحساب","CPC Calculator — standard","مسار مسار الحساب لأداة حاسبة تكلفة النقرة.","marketing-tools","formula","true","1"
"workflow-roas-calculator-standard","حاسبة العائد الإعلاني — مسار الحساب","ROAS Calculator — standard","مسار مسار الحساب لأداة حاسبة العائد الإعلاني.","marketing-tools","formula","true","1"
"workflow-salary-increase-calculator-standard","حاسبة زيادة الراتب — مسار الحساب","Salary Increase Calculator — standard","مسار مسار الحساب لأداة حاسبة زيادة الراتب.","employment-tools","formula","true","1"
"workflow-break-even-calculator-standard","حاسبة نقطة التعادل — مسار الحساب","Break-even Calculator — standard","مسار مسار الحساب لأداة حاسبة نقطة التعادل.","business-tools","formula","true","1"
"workflow-tip-calculator-standard","حاسبة الإكرامية — مسار الحساب","Tip Calculator — standard","مسار مسار الحساب لأداة حاسبة الإكرامية.","finance-tools","formula","true","1"
"workflow-compound-interest-calculator-standard","حاسبة الفائدة المركبة — مسار الحساب","Compound Interest Calculator — standard","مسار مسار الحساب لأداة حاسبة الفائدة المركبة.","finance-tools","formula","true","1"
"workflow-simple-interest-calculator-standard","حاسبة الفائدة البسيطة — مسار الحساب","Simple Interest Calculator — standard","مسار مسار الحساب لأداة حاسبة الفائدة البسيطة.","finance-tools","formula","true","1"
"workflow-unit-price-calculator-standard","حاسبة سعر الوحدة — مسار الحساب","Unit Price Calculator — standard","مسار مسار الحساب لأداة حاسبة سعر الوحدة.","finance-tools","formula","true","1"
"workflow-aov-calculator-standard","حاسبة متوسط قيمة الطلب — مسار الحساب","AOV Calculator — standard","مسار مسار الحساب لأداة حاسبة متوسط قيمة الطلب.","marketing-tools","formula","true","1"
"workflow-commission-calculator-standard","حاسبة العمولة — مسار الحساب","Commission Calculator — standard","مسار مسار الحساب لأداة حاسبة العمولة.","finance-tools","formula","true","1"
"workflow-roi-calculator-standard","حاسبة العائد على الاستثمار — مسار الحساب","ROI Calculator — standard","مسار مسار الحساب لأداة حاسبة العائد على الاستثمار.","finance-tools","formula","true","1"
"workflow-weighted-score-calculator-standard","حاسبة الدرجة الموزونة — مسار الحساب","Weighted Score Calculator — standard","مسار مسار الحساب لأداة حاسبة الدرجة الموزونة.","general-tools","formula","true","1"
"workflow-pre-tax-price-calculator-standard","حاسبة السعر قبل الضريبة — مسار الحساب","Pre-tax Price Calculator — standard","مسار مسار الحساب لأداة حاسبة السعر قبل الضريبة.","finance-tools","formula","true","1"
"workflow-markup-calculator-standard","حاسبة نسبة الزيادة على التكلفة — مسار الحساب","Markup Calculator — standard","مسار مسار الحساب لأداة حاسبة نسبة الزيادة على التكلفة.","finance-tools","formula","true","1"
"workflow-vat-calculator-standard","حاسبة ضريبة القيمة المضافة — مسار الحساب","VAT Calculator — standard","مسار مسار الحساب لأداة حاسبة ضريبة القيمة المضافة.","finance-tools","formula","true","1"
"workflow-average-calculator-standard","حاسبة المتوسط — مسار الحساب","Average Calculator — standard","مسار مسار الحساب لأداة حاسبة المتوسط.","general-tools","formula","true","1"
"workflow-line-sorter-standard","ترتيب الأسطر أبجديًا — مسار معالجة النص","Line Sorter — standard","مسار مسار معالجة النص لأداة ترتيب الأسطر أبجديًا.","text-tools","text","true","1"
"workflow-reverse-text-standard","عكس النص والكلمات — مسار معالجة النص","Reverse Text — standard","مسار مسار معالجة النص لأداة عكس النص والكلمات.","text-tools","text","true","1"
"workflow-text-case-converter-standard","تحويل حالة الأحرف — مسار معالجة النص","Text Case Converter — standard","مسار مسار معالجة النص لأداة تحويل حالة الأحرف.","text-tools","text","true","1"
"workflow-normalize-arabic-text-standard","تنظيف وتوحيد النص العربي — مسار معالجة النص","Arabic Text Normalizer — standard","مسار مسار معالجة النص لأداة تنظيف وتوحيد النص العربي.","text-tools","text","true","1"
"workflow-remove-diacritics-standard","إزالة التشكيل من النص — مسار معالجة النص","Remove Arabic Diacritics — standard","مسار مسار معالجة النص لأداة إزالة التشكيل من النص.","text-tools","text","true","1"
"workflow-fancy-separator-generator-standard","مولد الفواصل والرموز — مسار معالجة النص","Fancy Separator Generator — standard","مسار مسار معالجة النص لأداة مولد الفواصل والرموز.","decoration-tools","text","true","1"
"workflow-quote-wrapper-standard","إطارات واقتباسات مزخرفة — مسار معالجة النص","Fancy Quote Wrapper — standard","مسار مسار معالجة النص لأداة إطارات واقتباسات مزخرفة.","decoration-tools","text","true","1"
"workflow-line-prefix-adder-standard","إضافة رمز لكل سطر — مسار معالجة النص","Line Prefix Adder — standard","مسار مسار معالجة النص لأداة إضافة رمز لكل سطر.","text-tools","text","true","1"
"workflow-find-replace-text-standard","بحث واستبدال النص — مسار معالجة النص","Find & Replace Text — standard","مسار مسار معالجة النص لأداة بحث واستبدال النص.","text-tools","text","true","1"
"workflow-emoji-text-decoration-standard","زخرفة النص بالإيموجي — مسار معالجة النص","Emoji Text Decorator — standard","مسار مسار معالجة النص لأداة زخرفة النص بالإيموجي.","decoration-tools","text","true","1"
"workflow-text-decoration-standard","زخرفة النصوص والأسماء — مسار معالجة النص","Text & Name Decorator — standard","مسار مسار معالجة النص لأداة زخرفة النصوص والأسماء.","decoration-tools","text","true","1"
"workflow-arabic-text-decoration-standard","زخرفة الأسماء العربية — مسار معالجة النص","Arabic Name Decorator — standard","مسار مسار معالجة النص لأداة زخرفة الأسماء العربية.","decoration-tools","text","true","1"
"workflow-english-name-decoration-standard","زخرفة الأسماء الإنجليزية — مسار معالجة النص","English Name Decorator — standard","مسار مسار معالجة النص لأداة زخرفة الأسماء الإنجليزية.","decoration-tools","text","true","1"
"workflow-username-decoration-standard","زخرفة اسم المستخدم — مسار معالجة النص","Username Decorator — standard","مسار مسار معالجة النص لأداة زخرفة اسم المستخدم.","decoration-tools","text","true","1"
"workflow-slug-generator-standard","مولد الرابط المختصر Slug — مسار معالجة النص","Slug Generator — standard","مسار مسار معالجة النص لأداة مولد الرابط المختصر Slug.","text-tools","text","true","1"
